name,lat,temp_max,winds,clouds,humidity
saint-philippe,45.36,31.3,4.7,75,89
punta arenas,-53.16,51.8,28.86,75,53
albany,42.65,34.77,5.73,75,75
rikitea,-23.12,77.86,15.68,24,98
san jeronimo,-13.65,36.78,1.7,24,51
port-cartier,50.03,26.6,2.24,90,73
aykhal,65.95,-29.24,3.15,48,45
araouane,18.9,54.6,9.64,0,23
ulvik,60.57,23.14,2.15,80,90
mataura,-46.19,75.88,7.74,24,65
jieshi,22.82,72.73,12.66,12,90
san patricio,-26.98,70.03,7.85,0,58
new norfolk,-42.78,64.4,12.75,40,34
hobart,-42.88,64.4,12.75,40,34
madaoua,14.07,61.26,10.54,0,32
abha,18.22,50.09,1.03,0,57
sorland,67.67,45.28,38.83,76,100
arroio grande,-32.24,64.41,25.86,88,100
mar del plata,-46.43,49.96,7.74,36,89
macklin,52.34,20.13,8.75,88,89
laguna,27.52,64.4,3.36,5,63
klaksvik,62.23,37.4,16.11,92,86
puro,13.13,84.3,13.56,8,72
butaritari,3.07,85.96,6.62,80,100
batticaloa,7.71,80.29,6.29,0,100
shenjiamen,29.96,68.14,15.68,64,85
bethel,60.79,31.46,12.75,1,92
lashio,22.93,64.72,2.37,0,78
parry sound,45.34,32.46,8.19,92,87
hervey bay,-25.3,87.8,23.04,0,58
chulman,56.84,-15.74,3.6,44,63
codrington,-28.95,93.15,11.41,20,36
ilulissat,69.22,15.8,10.29,48,56
atuona,-9.8,80.83,14.0,80,100
port alfred,-33.59,66.75,12.44,8,94
celestun,20.87,80.25,8.63,0,91
yellowknife,62.45,12.2,5.82,90,92
avarua,-21.21,78.8,10.29,75,78
novi pazar,43.14,12.7,1.59,0,87
syracuse,43.05,34.61,12.75,90,95
iralaya,15.0,78.22,5.06,68,96
mayo,63.59,12.2,2.93,90,85
faanui,-16.48,83.08,15.68,20,99
thompson,55.74,19.4,4.7,90,92
fort nelson,58.81,17.6,2.24,75,92
havelock,34.88,63.41,11.41,90,100
koumac,-20.56,85.11,1.36,0,56
barrow,-38.31,50.77,6.4,80,66
staryy nadym,65.61,-10.75,9.75,92,74
sioux lookout,50.1,20.1,3.36,90,92
kaitangata,-46.28,68.01,20.71,0,74
bonfim,3.36,80.02,13.44,0,57
saldanha,41.42,35.11,3.71,68,93
kavieng,-2.57,86.32,6.4,56,99
busselton,-33.64,68.01,5.39,0,91
birsk,55.42,-1.43,3.38,0,59
saskylakh,71.97,-3.86,7.18,76,66
santiago del estero,-27.8,66.88,8.52,76,63
alta floresta,-9.87,75.66,3.04,44,86
hilo,19.71,78.08,8.05,75,76
cimitarra,6.31,72.1,2.82,0,91
hermanus,-34.42,56.17,2.15,68,99
butembo,0.12,59.5,1.59,48,91
nhulunbuy,-12.18,95.0,12.75,0,47
qaanaaq,77.48,-8.5,9.98,0,94
upernavik,72.79,20.31,15.9,76,100
nouadhibou,20.93,65.08,13.78,0,64
seymchan,62.93,-11.24,4.38,48,53
hithadhoo,-0.6,80.47,1.14,92,100
pontes e lacerda,-15.23,69.4,3.38,92,98
vostok,46.45,33.4,7.63,0,62
mahebourg,-20.41,73.4,2.24,75,83
gat,14.69,73.4,13.87,0,53
ushuaia,-54.81,51.8,6.93,40,66
nikolskoye,59.7,23.0,6.71,90,67
tarsus,36.92,49.24,2.24,40,100
barra do garcas,-15.89,70.39,4.38,68,99
muros,42.77,53.6,16.11,90,93
hudson bay,52.86,21.16,3.94,80,89
megion,61.04,-14.81,6.71,0,75
kaoma,-14.8,63.55,5.17,0,86
kulhudhuffushi,6.62,84.07,18.03,80,100
calama,-22.46,53.6,3.36,0,27
trat,12.25,86.0,3.83,12,70
inhambane,-23.87,69.63,8.86,24,100
farafangana,-22.82,74.13,5.61,56,100
cabo san lucas,22.89,68.13,8.05,40,68
provideniya,64.42,24.18,10.65,36,100
quatre cocos,-20.21,73.4,2.24,75,83
port lincoln,-34.72,64.23,19.04,0,78
antsohihy,-14.88,70.3,4.61,80,100
troitskoye,52.98,7.12,3.6,68,78
hofn,64.25,33.0,22.95,32,100
chokurdakh,70.62,-0.76,15.68,44,68
stolac,43.08,48.2,8.05,0,66
tazovskiy,67.47,-30.95,8.97,64,0
puerto ayora,-0.74,71.7,14.0,0,100
maputo,-25.97,69.49,7.63,0,58
ketchikan,55.34,35.06,8.05,1,84
viedma,-40.81,45.51,5.06,0,76
pringsewu,-5.36,82.5,3.04,68,78
vaini,15.34,57.2,6.62,8,82
tasiilaq,65.61,19.4,9.17,0,48
cape town,-33.93,62.47,4.38,92,98
praia da vitoria,38.73,66.2,23.4,40,93
dikson,73.51,-18.71,12.77,20,100
bluff,-23.58,100.27,8.75,0,29
chuy,-33.69,62.11,24.85,88,93
bonavista,48.65,36.1,13.22,88,100
villa carlos paz,-31.42,60.8,4.7,75,72
leningradskiy,69.38,17.83,26.75,68,95
tamasopo,21.92,52.84,3.38,0,86
constitucion,23.99,57.2,2.24,5,54
concepcion del uruguay,-32.48,60.63,14.23,0,55
east london,-33.02,69.45,17.47,12,100
ancud,-41.87,51.8,9.17,0,62
toktogul,41.87,1.0,2.15,0,56
mehamn,71.03,36.37,18.81,80,96
hambantota,6.12,75.2,5.82,0,94
kedrovyy,56.17,-9.41,6.71,56,76
maldonado,-34.91,57.2,26.4,75,71
emba,34.81,57.2,10.29,0,82
pindi gheb,33.24,45.1,4.38,0,65
jamestown,-33.21,69.31,15.23,0,35
thaton,16.91,81.73,4.94,8,98
srednekolymsk,67.46,-8.72,3.71,68,65
tuktoyaktuk,69.44,6.8,9.17,75,84
touros,-5.2,80.6,9.17,40,83
juneau,58.3,21.9,3.83,1,100
vao,59.1,17.16,7.85,80,90
felanitx,39.47,44.6,1.12,0,100
loding,48.05,37.4,11.41,75,84
sao filipe,14.9,76.11,15.01,64,93
koslan,63.46,20.13,5.95,68,61
carnarvon,-30.97,48.3,6.4,32,54
bredasdorp,-34.53,63.28,5.95,92,100
namibe,-15.19,72.28,4.94,8,95
souillac,45.6,54.39,19.46,90,93
kodiak,39.95,36.99,7.18,90,100
ust-nera,64.57,-44.68,1.81,36,0
plettenberg bay,-34.05,61.71,8.3,68,99
revda,67.94,23.73,10.65,88,84
ponta do sol,-20.63,67.56,3.27,92,96
bumba,2.18,70.21,3.27,32,100
alofi,-19.06,86.0,11.41,8,70
samfya,-11.37,65.98,7.07,8,95
padang,-0.92,79.53,3.27,56,100
kahului,20.89,76.51,8.05,40,74
auki,12.18,61.75,2.71,20,61
pecanha,-18.55,69.22,2.04,48,91
talnakh,69.49,-39.46,3.71,12,0
shingu,33.72,64.4,4.7,40,59
salalah,17.01,75.2,3.36,20,69
ostrovnoy,68.05,20.62,21.39,0,88
deputatskiy,69.3,-15.65,2.71,64,66
krasnovishersk,60.4,20.26,7.07,80,87
sitka,37.17,41.1,21.5,56,60
ranong,9.96,84.2,5.61,20,79
port hardy,50.7,41.0,5.82,90,86
nelson bay,-32.72,98.6,34.45,8,13
ukiah,39.15,42.98,6.4,1,88
aklavik,68.22,19.4,5.82,40,73
wylie,33.02,60.85,6.93,5,25
agua verde,22.89,68.0,9.53,5,77
batagay-alyta,67.8,-24.02,2.26,32,33
novoye devyatkino,60.07,23.0,6.71,90,67
bilibino,68.06,-20.2,2.15,80,83
khor,47.88,31.11,9.64,0,61
tadine,-21.55,79.08,11.43,0,94
salekhard,66.54,-10.3,2.82,68,71
san cristobal,-0.39,57.2,4.7,75,76
esperance,10.24,78.8,3.36,40,74
domodossola,46.12,28.4,1.12,56,100
rutana,-3.93,62.25,1.25,68,94
norman wells,65.28,-4.01,5.82,5,83
ribeira grande,38.52,66.7,21.83,92,96
monroe,41.91,41.04,6.93,90,97
belle fourche,44.67,29.37,4.7,90,107
lorengau,-2.02,85.06,5.28,8,97
airai,-8.93,76.78,1.59,64,94
amalapuram,16.58,75.2,6.93,36,73
laramie,41.31,23.92,14.99,1,62
kapaa,22.08,77.56,10.29,90,64
rampura,24.47,61.71,4.05,0,99
weihe,32.99,43.03,2.37,88,85
khatanga,71.98,-27.44,4.16,64,44
porkhov,57.77,21.2,8.95,92,79
lazaro cardenas,28.39,51.8,6.73,5,37
bartica,6.41,73.4,4.7,0,100
novoagansk,61.94,-21.46,7.07,68,32
santa cruz cabralia,-16.28,77.0,8.05,75,94
lebu,8.96,36.73,2.71,0,81
bohicon,7.18,77.28,6.85,56,80
kenai,60.55,39.92,32.21,1,79
saint-joseph,43.56,35.6,2.24,56,100
tamala,52.54,16.75,14.79,92,81
assiniboia,49.63,30.16,13.78,92,93
olga,34.11,58.14,9.17,75,64
naze,5.43,74.89,8.3,36,85
vardo,39.62,39.61,4.7,90,100
naifaru,5.44,83.44,18.03,32,100
arman,59.7,-12.1,5.5,0,55
oktyabrskiy,55.61,20.3,13.42,40,85
honiara,-9.43,80.7,2.71,48,93
coquimbo,-29.95,59.0,4.7,90,93
haines junction,60.75,-9.76,2.15,12,92
yilan,24.75,83.16,11.41,20,45
sibu,2.29,82.4,4.7,40,83
banda aceh,5.56,81.1,5.06,12,91
henties bay,-22.12,58.65,4.27,0,100
benguela,-12.58,74.8,4.16,36,100
georgetown,6.8,76.68,13.87,40,78
atasu,48.68,0.37,3.04,8,62
beringovskiy,63.05,8.65,10.2,0,100
jumla,29.28,21.21,1.59,0,61
los llanos de aridane,28.66,66.2,8.05,68,88
arraial do cabo,-22.97,75.07,10.65,76,95
kantunil,20.8,80.6,17.22,5,69
maryville,40.35,33.85,7.18,90,100
sao joao da barra,-21.64,76.2,2.37,68,100
barabash,43.19,46.4,15.66,40,65
guaraniacu,-25.1,67.06,4.38,8,70
zlynka,52.43,19.4,4.47,90,92
zaozerne,51.37,19.41,8.97,80,98
uglovka,58.24,14.32,8.97,88,84
pevek,69.7,11.8,16.35,68,87
saint george,39.45,42.17,3.15,75,93
talcahuano,-36.72,59.0,4.7,0,82
guerrero negro,27.97,61.26,16.69,12,83
flinders,-34.58,86.0,24.16,40,30
nanortalik,60.14,26.29,9.42,64,94
castro,-42.48,50.0,5.82,0,61
grants,35.15,21.75,6.17,8,56
waitati,-45.75,64.18,14.79,24,76
cidreira,-30.17,66.3,8.19,92,100
hasaki,35.73,54.45,5.82,75,62
ambilobe,-13.19,70.8,4.38,20,87
ekibastuz,51.72,6.58,5.39,64,80
zhangye,38.94,16.98,4.38,24,74
coihaique,-45.58,47.21,2.24,0,66
geraldton,49.72,24.8,5.82,90,85
woodward,36.43,39.69,6.93,1,74
tiksi,71.64,0.82,10.65,48,73
mbandaka,0.05,71.47,2.93,92,100
oga,8.18,73.0,8.19,88,80
aquiraz,-3.9,80.6,3.36,75,83
morondava,-20.3,76.2,1.59,80,97
borovoy,63.23,15.18,7.96,32,76
pangnirtung,66.15,7.98,3.6,48,74
palmer,61.6,43.59,10.65,90,57
zhuanghe,39.7,50.01,21.83,92,97
carutapera,-1.2,78.31,4.61,76,93
harper,30.3,53.02,3.36,1,46
teguise,29.06,66.2,9.17,48,72
gigmoto,13.78,81.78,13.56,64,96
alice springs,-23.7,91.4,10.29,88,31
omboue,-1.57,77.77,0.69,88,100
nara,34.68,58.51,1.12,0,48
svetlogorsk,53.14,12.2,4.47,40,92
colorado springs,38.83,22.86,10.29,1,64
oranjemund,-28.55,60.04,15.23,92,93
yarmouth,50.71,55.4,13.87,92,93
bathsheba,13.22,77.0,11.41,40,78
camacha,33.08,60.8,2.24,20,82
bilma,18.69,48.07,5.95,0,50
torbay,47.66,33.8,11.41,90,100
dingle,11.0,82.86,14.79,44,75
cayenne,4.94,78.8,6.93,75,78
palau,42.18,44.06,2.24,76,100
port elizabeth,39.31,45.23,6.93,90,100
taoudenni,22.68,53.25,11.32,0,27
huarmey,-10.07,55.36,3.6,0,87
funadhoo,6.15,83.89,19.26,12,100
candoni,9.83,83.85,7.18,32,96
buraydah,26.33,60.8,14.99,40,100
cody,44.53,24.69,3.36,75,91
buchanan,5.88,78.8,3.36,75,94
severo-kurilsk,50.68,29.44,14.0,80,100
centralina,-18.58,68.95,9.86,92,99
manzhouli,49.6,16.39,4.05,8,79
shadegan,30.65,64.42,2.71,36,88
allapalli,19.43,71.92,3.94,56,82
cap malheureux,-19.98,77.0,3.36,75,78
istra,55.91,20.28,13.42,90,85
kruisfontein,-34.0,61.75,11.99,48,94
podor,16.65,70.84,10.31,0,25
sadovoye,47.78,29.08,13.33,92,94
belaya gora,68.54,3.66,10.98,76,82
milkovo,41.53,26.6,1.92,88,100
